SOLDIER_ID,LAST_NAME,FIRST_NAME,GENDER,AGE,HOME_STATE,RANK,PAY_GRADE,MOS_CODE,MOS_TITLE,MOS_BRANCH,BRIGADE,BATTALION,COMPANY,PLATOON,ENLISTMENT_DATE,YEARS_OF_SERVICE,STATUS,DEPLOYMENT,THEATER,DEPLOY_MONTHS,COMBAT_TOURS,BASE_PAY_USD,BAH_USD,BAS_USD,TOTAL_MONTHLY_PAY_USD,ACFT_TOTAL_SCORE,ACFT_STATUS,RUN_TIME_MIN,PUSHUPS_COUNT,SITUPS_COUNT,WEAPON,WEAPON_SCORE,WEAPON_QUALIFICATION,EDUCATION,SECURITY_CLEARANCE,AIRBORNE_QUALIFIED,AIR_ASSAULT_QUALIFIED,RANGER_TAB,VEHICLE_QUALIFIED,AWARD_1,AWARD_2,EVAL_RATING,LAST_PROMOTION_DATE,INJURY_STATUS,REENLIST_ELIGIBLE,DAYS_UNTIL_ETS,ETS_STATUS
US-0001,Anderson,James,M,40,CO,MSG,E8,13F,Fire Support Specialist,Combat Support,2nd BCT,2-4 AVN,Alpha,HQ PLT,2006-12-14,17.5,Deployed,Peacetime,CONUS,0,0,4739,0,422,5161,548,PASS,12.8,33,44,M4 Carbine,33,SHARPSHOOTER,AA Degree,TS/SCI,NO,YES,NO,None,Combat Medic Badge,None,Outstanding,2023-02-15,Medical Hold,YES,878,Retained
US-0002,Harris,DeShawn,M,30,PA,CPL,E4,35F,Intelligence Analyst,Intelligence,3rd BCT,21st BSB,Charlie,1st PLT,2021-05-14,3,Attached,KFOR,Kosovo,3,0,2504,0,422,2926,475,PASS,17.2,73,70,M249 SAW,38,EXPERT,BA/BS Degree,Top Secret,YES,YES,YES,None,Army Achievement Medal,None,Qualified,2022-12-29,Medical Hold,YES,358,Retained
US-0003,Young,DeShawn,M,22,PA,SSG,E6,88M,Motor Transport Operator,Logistics,DISCOM,1-41 IN,Bravo,4th PLT,2013-07-06,10.9,Deployed,OIR,Iraq/Syria,7,1,2980,0,422,3402,495,PASS,14.4,22,50,M240B,18,MARKSMAN,Some College,TS/SCI,NO,NO,NO,LMTV,Combat Medic Badge,Airborne Badge,Needs Improvement,2018-11-23,Profile,YES,1254,Retained
US-0004,Thompson,Tanya,F,31,NC,SGT,E5,88M,Motor Transport Operator,Logistics,CAB,2-5 CAV,Foxtrot,1st PLT,2007-06-18,17,Leave,OEF,Afghanistan,5,0,2730,2193,422,5345,595,PASS,17.6,44,54,M9 Pistol,32,SHARPSHOOTER,BA/BS Degree,Top Secret,NO,YES,NO,FMTV,Bronze Star Medal,Army Commendation Medal,Highly Qualified,2012-11-27,Fit for Duty,YES,1550,Retained
US-0005,King,Tyler,M,22,AL,SGM,E9,25B,IT Specialist,Signal,DISCOM,15th BSB,HHC,2nd PLT,2008-06-06,16,Active Duty,OIR,Iraq/Syria,5,0,5473,0,422,5895,347,FAIL,17.6,51,31,M240B,25,MARKSMAN,MA/MS Degree,TS/SCI,YES,NO,NO,None,Combat Medic Badge,None,Highly Qualified,2021-08-09,Profile,YES,1233,Retained
US-0006,Taylor,Michael,M,25,PA,CPT,O3,15T,UH-60 Helicopter Repairer,Aviation,DISCOM,1-82 FA,Delta,HQ PLT,2015-02-16,9.3,Active Duty,OIF,Iraq,7,1,4836,0,266,5102,407,PASS,15.4,57,65,M249 SAW,16,MARKSMAN,BA/BS Degree,None,NO,YES,NO,FMTV,Army Achievement Medal,Army Commendation Medal,Qualified,2024-11-23,Profile,YES,1436,Retained
US-0007,Clark,Ryan,M,32,KY,SFC,E7,11C,Indirect Fire Infantry,Combat,1st BCT,1-4 AVN,Delta,3rd PLT,2014-07-02,9.9,Deployed,KFOR,Kosovo,14,2,3294,0,422,3716,345,FAIL,13,66,51,M249 SAW,22,MARKSMAN,HS Diploma,Top Secret,NO,YES,YES,LMTV,Combat Medic Badge,Combat Infantry Badge,Outstanding,2023-05-18,Fit for Duty,YES,-440,ETS Eligible
US-0008,Garcia,Kevin,M,36,KY,MAJ,O4,68W,Combat Medic,Medical,CAB,1-41 IN,Foxtrot,4th PLT,2006-04-26,18.1,Deployed,OEF,Afghanistan,12,2,5696,804,266,6766,522,PASS,14.8,70,80,M240B,29,MARKSMAN,HS Diploma,Secret,NO,YES,YES,None,None,None,Outstanding,2019-02-07,Medical Hold,YES,1452,Retained
US-0009,Walker,Marcus,M,30,NY,SPC,E3,25B,IT Specialist,Signal,2nd BCT,2-5 CAV,HHC,1st PLT,2020-02-23,4.3,TDY,NTC Rotation,Fort Irwin,0,0,2259,1281,422,3962,416,PASS,13.5,76,66,M4 Carbine,35,SHARPSHOOTER,AA Degree,Secret,NO,YES,NO,None,Army Achievement Medal,None,Needs Improvement,2024-03-19,Limited Duty,YES,-203,ETS Eligible
US-0010,Young,Carlos,M,22,PA,CPL,E4,11C,Indirect Fire Infantry,Combat,DIVARTY,1-41 IN,HHC,3rd PLT,2007-12-22,16.4,Deployed,OIR,Iraq/Syria,2,0,2504,1300,422,4226,444,PASS,14.9,48,64,M4 Carbine,37,EXPERT,AA Degree,Top Secret,YES,YES,NO,M2A3 Bradley,Air Assault Badge,None,Highly Qualified,2022-06-02,Profile,YES,581,Retained
